Brand Name,Brand url,Flavor Name,Flavor URL
Догма,https://htreviews.org/tobaccos/dogma,Мартин Киппенбергер,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/martin-kippenberger
Догма,https://htreviews.org/tobaccos/dogma,Митридат,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/mitridat
Догма,https://htreviews.org/tobaccos/dogma,Mezcal,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/mezcal
Догма,https://htreviews.org/tobaccos/dogma,Санта Клаус,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/santa-klaus
Догма,https://htreviews.org/tobaccos/dogma,Радриго Де Херес,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/radrigo-de-kheres
Догма,https://htreviews.org/tobaccos/dogma,Энди Флетчер,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/endi-fletcher
Догма,https://htreviews.org/tobaccos/dogma,Пилото Кубано,https://htreviews.org/tobaccos/dogma/sigarnyy-monosort/piloto-kubano
Догма,https://htreviews.org/tobaccos/dogma,Masonic,https://htreviews.org/tobaccos/dogma/dogma-2019-2022/masonic
Догма,https://htreviews.org/tobaccos/dogma,Жасминовый улун,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/zhasminovyy-ulun
Догма,https://htreviews.org/tobaccos/dogma,Башкирский мёд,https://htreviews.org/tobaccos/dogma/100-sigarnyy-pank/bashkirskiy-med
Догма,https://htreviews.org/tobaccos/dogma,Лемон дропс,https://htreviews.org/tobaccos/dogma/100-sigarnyy-pank/lemon-drops
Догма,https://htreviews.org/tobaccos/dogma,Олор Карбонелл,https://htreviews.org/tobaccos/dogma/sigarnyy-monosort/olor-karbonell
Догма,https://htreviews.org/tobaccos/dogma,Мата Фина,https://htreviews.org/tobaccos/dogma/sigarnyy-monosort/mata-fina
Догма,https://htreviews.org/tobaccos/dogma,Егор Летов. 1964,https://htreviews.org/tobaccos/dogma/limitirovannyye-vkusy/yegor-letov-1964
Догма,https://htreviews.org/tobaccos/dogma,Кубита Кармен,https://htreviews.org/tobaccos/dogma/sigarnyy-monosort/kubita-karmen
Догма,https://htreviews.org/tobaccos/dogma,Пушкин,https://htreviews.org/tobaccos/dogma/100-sigarnyy-pank/pushkin
Догма,https://htreviews.org/tobaccos/dogma,Корохо 232,https://htreviews.org/tobaccos/dogma/sigarnyy-monosort/korokho-232
